,V1,PolygonID,DocID,Author,Publication_Year,RangeDescription,First Measurement Year,Last Measurement Year,Digitization_Scale,AdultFemaleSurvivalRate,Lambda,CalfCow,Mortality,Pregnancy,Predator Control,Note
65,65,Seip113_Quesnel,113,Seip,1992,Quesnel Lake,1984,1989,500000,0.71,1.04,0.181,0.29,0.94,Yes,"Digitized from Seip 1992 Wildlife Bulletin report. Calf:cow is the sum of total column in table 1 (ie with wolves, without, and reduced wolves)"
66,66,Rettie92_ClarkeLake,92,Rettie and Messier,1998,Clarke Lake,1993,1996,1000000,0.8,0.923,0.33,NA,,No,"earliest measurements seem to vary between 1992 (pregnancy), 1993 (survival) and 1994 (calf:cow). Ian calculated lambda - SD is very large and lambda not sig diff from 1"
67,67,Rettie92_NemeibenLake,92,Rettie and Messier,1998,Nemeiben Lake,1994,1996,1000000,0.79,0.852,0.18,NA,,No,
68,68,Rettie92_MossyRiver,92,Rettie and Messier,1998,Mossy River,1994,1996,1000000,1,1.116,0.24,NA,,No,
69,69,Rettie92_MontrealLake,92,Rettie and Messier,1998,Montreal Lake,1993,1996,1000000,0.78,0.914,0.37,NA,,No,"earliest measurements seem to vary between 1992 (pregnancy), 1993 (survival) and 1994 (calf:cow)"
70,70,Rettie92_WeyakwinLake,92,Rettie and Messier,1998,Weyakwin Lake,1994,1996,1000000,0.87,0.98,0.31,NA,,No,
71,71,Gustine40_BesaProphet,40,Gustine et al.,2010,Greater Besa-Prophet area of Muskwa-Kechika,2001,2002,200000,,NA,,NA,0.917,Unconfirmed,
72,72,Culling115_Chinchaga,115,Culling and Culling,2013,Chinchaga BC,2004,2013,NA,,NA,11.7,NA,,Unconfirmed,"this does not include Alberta portion. With Alberta, ratio is 33.3, much higher!"
73,73,Culling115_SS,115,Culling and Culling,2013,Snake-Sahtaneh,2004,2013,NA,,NA,24.2,NA,,Unconfirmed,2004 measurement is from separate report but yields population change
74,74,Culling115_Calendar,115,Culling and Culling,2013,Calendar BC,2004,2013,NA,,NA,34.8,NA,,Unconfirmed,"this does not include Alberta portions, which is correct wrt polygon. 2004 measurement is from separate report but yields population change"
75,75,Culling115_Maxhamish,115,Culling and Culling,2013,Maxhamish,2004,2013,NA,,NA,27.8,NA,,Unconfirmed,2004 measurement is from separate report but yields population change
76,76,Culling115_Prophet,115,Culling and Culling,2013,Prophet BC,2004,2013,NA,,NA,19.2,NA,,Unconfirmed,2004 measurement is from separate report but yields population change
77,77,Culling115_Parker,115,Culling and Culling,2013,Parker,2004,2013,NA,,NA,4.4,NA,,Unconfirmed,2004 measurement is from separate report but yields population change
78,78,Culling115_FtNelson,115,Culling and Culling,2013,Fort Nelson,2013,2013,NA,,NA,0,NA,,Unconfirmed,"this was deemed to be a separate range after 2004, hence no earlier data"
79,79,Frenette116_McGerrigle,116,Frenette,2017,McGerrigle,1988,2015,250000,0.86,NA,,NA,,Yes,"calf:cow is available for all 3 polys combined, but it must be interpreted from figure 2.3. Appears  to be roughly 0.3,  interannual variance seems to increase over time. "
80,80,Frenette116_Logan,116,Frenette,2017,Logan,1999,2015,250000,0.97,NA,,NA,,Yes,"calf:cow is available for all 3 polys combined, but it must be interpreted from figure 2.3. Appears  to be roughly 0.3,  interannual variance seems to increase over time. "
81,81,Frenette116_Albert,116,Frenette,2017,Albert,1988,2001,250000,0.87,NA,,NA,,Yes,"calf:cow is available for all 3 polys combined, but it must be interpreted from figure 2.3. Appears  to be roughly 0.3,  interannual variance seems to increase over time. "
82,82,Mahoney82_Buchans,82,Mahoney and Schaefer,2002,Buchans,1996,1999,300000,0.876,1.036,,NA,,,"from page 960 - they calcualted finite rate-of-increase for period with radiocollar tracking, 1996-1999. Lambda is from e ^( <mean rate of increase from 1996-97, 97-98, 98-99). "
