DocID,Author,Original_Lit_Review,year,Publication_Type,URL,Title,StudyArea,Sampled_Years,Useful,Study Area Photo,Herds,Demographic_Indicator,Notes,Complete,
11,Brown et al.,Yes,2003,Journal article,https://septentrio.uit.no/index.php/rangifer/article/view/1706,Range size and seasonal movement for female woodland caribou in the boreal forest of northeastern Ontario,Quebec Ontario,1998-2001,Unsure,study area photo,,mortality rate,"11 of 30 caribou died, but focus was not demographics. 7 attributed to predation",,
12,Mallory & Hillis,Yes,1998,Journal article,https://septentrio.uit.no/index.php/rangifer/article/view/1541,"Demographic characteristicsof circumpolar caribou populations: ecotypes, ecological constraints, releases, and population dynamics",,20 years,No,,,,Not boreal - no raw data,,
13,Vors et al.,Yes,2007,Journal article,https://bioone.org/journals/journal-of-wildlife-management/volume-71/issue-4/2006-263/Woodland-Caribou-Extirpation-and-Anthropogenic-Landscape-Disturbance-in-Ontario/10.2193/2006-263.full,Woodland caribou extirpation and anthropogenic landscape disturbance in Ontario,Northern Ontario,1800-2005,No,study area photo,,,No primary data,,
14,Armstrong,Yes,1998,Journal article,https://septentrio.uit.no/index.php/rangifer/article/view/1559,Integration of woodland caribou habitat management and forest management in northern Ontario—current status and issues,,Multiple,No,study area photo,,,No data,,
15,Wittmer et al.,Yes,2007,Journal article,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/j.1365-2656.2007.01220.x,Changes in landscape composition influence the decline of a threatened woodland caribou population,British Columbia,1984-2004,Yes,study area photo,Many,lambda,overlaps with Wittmer 2005,yes,
16,Smith et al.,Yes,2000,Journal article,https://www.nrcresearchpress.com/doi/abs/10.1139/z00-094,Winter distribution of woodland caribou in relation to clear-cut logging in west-central Alberta,"2468 km2 area determined by 95% confidence ellipse of all telemetry locations Dec 1 to Apr 30 1981-1996, foothills, west-central Alberta",1981-1996,No,study area photo part 1,,,study area photo part 2,,
17,Bergerud,Yes,1974,Journal article,https://www.jstor.org/stable/3800042?seq=1#metadata_info_tab_contents,Decline of caribou in North America following settlement,Canada + Alaska,Multiple,No,Multiple,,,reviews other studies but year might be challenging. Predates Landsat,,
18,Edmonds,Yes,1991,Journal article,https://septentrio.uit.no/index.php/rangifer/article/view/998,Status of woodland caribou in western North America,Western N.A.,1970-1990,Unlikely,study area photo,,count,"Must retrieve population estimate from primary sources, but does have coarse estimates for Western Canada dating to 1971",,
19,James,Yes,1999,Thesis,https://era.library.ualberta.ca/items/b0ec7038-4742-4cb6-b66f-a028a5768b2e,Effects of industrial development on the predator-prey relationship between wolves and caribou in northeastern Alberta,Northern AB,1994-1997,No,study area photo,,,Focus is on wolf predation,,
20,James & Stuart-Smith,No,2000,Journal article,https://www.jstor.org/stable/3802985,Distribution of caribou and wolves in relation to linear corridors,Alberta,1994-1997,Yes,study area photo,,mortality,"tracked caribou plus mortalities, inc. cause",yes,
21,Oberg,Yes,2001,Thesis,https://era.library.ualberta.ca/items/41d91822-9cf8-4bb7-b5b7-7325fed4d1e2,Responses of mountain caribou to linear features in a west-central Alberta landscape,,1998-2000,No,study area photo,,,Low-resolution,,
22,Seip,Yes,1998,Journal article,https://septentrio.uit.no/index.php/rangifer/article/view/1557,Ecosystem management and the conservation of caribou habitat in British Columbia,Eastern BC,Multiple,No,,,,No demographic data,,
23,Bradshaw et al.,Yes,1997,Journal article,https://www.jstor.org/stable/3802110,Effects of petroleum exploration on woodland caribou in northeastern Alberta,Ranges in Northern Alberta,1993-1994,No,see Bradshaw below,,,SA described in Bradshaw et al 1995,,
24,Curatalo & Murphy,Yes,1986,Journal article,https://www.biodiversitylibrary.org/item/89211#page/232/mode/1up,"The effects of pipelines, roads and traffic on the movements of caribou, Rangifer tarandus",Alaska,1981-1983,No,study area photo,,,No demographic data,,
25,Schindler et al.,Yes,2007,Journal article,https://septentrio.uit.no/index.php/rangifer/article/view/346,Determining effects of an all weather logging road on winter woodland caribou habitat use in south-eastern Manitoba,Southern Manitoba,2002-2006,No,study area photo,,,tracked 7 caribou,,
26,Ellington et al.,Yes,2020,Journal article,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.6553,Divergent estimates of herd-wide caribou calf survival: Ecological factors and methodological biases,Newfoundland,1979-2014,Yes,study area photo,,calf:cow lambda ,Many different population estimates - get Eric to read,yes,
27,Heard & Vagt,Yes,1996,Journal article,https://septentrio.uit.no/index.php/rangifer/article/view/1548/1454,Caribou in British Columbia: A 1996 status report,,Multiple,No,study area photo,,general trend,no demographic data?,,
28,Bastille-Rousseau et al.,Yes,2013,Journal article,https://cdnsciencepub.com/doi/full/10.1139/cjz-2013-0154#refg58,Population decline in semi-migratory caribou (Rangifer tarandus): intrinsic or extrinsic drivers?,Range boundaries,1960-2008,No,,,,better treated as individual areas - see Mahoney et al 2000,,
29,Skatter et al.,Yes,2017,Journal article,https://cdnsciencepub.com/doi/full/10.1139/cjz-2016-0307,Living in a burned landscape: woodland caribou (Rangifer tarandus caribou) use of postfire residual patches for calving in a high fire – low anthropogenic Boreal Shield ecozone,Outer boundary of 2013 telemetry data,2013-2014,No,study area photo,,,not a demographic study,,
30,Latham et al.,Yes,2011,Journal article,https://www.jstor.org/stable/41417098?pq-origsite=summon&seq=4#metadata_info_tab_contents,Movement responses by wolves to industrial linear features and their effect on woodland caribou in northeastern Alberta,Range boundaries of Athabasca River caribou ranges,2006-2007,No,study area photo,,,Possible ranges were intersected with some other polygon,,
31,Plante et al.,Yes,2018,Journal article,https://www.sciencedirect.com/science/article/pii/S0006320718300442?via%3Dihub#f0005,Human disturbance effects and cumulative habitat loss in endangered migratory caribou,Convex polygons of radio collars - Northern Quebec and Labrador,2009-2015,No,study area photo,,,no GPS locations presenetd,,
32,Johnson et al.,Yes,2015,Journal article,https://www.sciencedirect.com/science/article/pii/S0006320715001160?via%3Dihub#t0005,Witnessing extinction – Cumulative impacts across landscapes and the future loss of an evolutionarily significant unit of woodland caribou in Canada,British Columbia,2000-2011,Yes,study area photo,"Moberly, Burnt Pine, Quintette, Bearhole Redwillow",lambda,good quality,yes,
33,Apps et al.,Yes,2013,Journal article,https://wildlife.onlinelibrary.wiley.com/doi/full/10.1002/jwmg.601,Spatial factors related to mortality and population decline of endangered mountain caribou,British Columbia,1985-2006,Yes but,study area photo,Many,mortality rate,No calf:cow ratio,Duplicate of Wittmer?,
34,Chubbs et al.,No,1993,Journal article,https://cdnsciencepub.com/doi/abs/10.1139/z93-070,Responses of woodland caribou (Rangifer tarandus caribou) to clear-cutting in east-central Newfoundland,Northwest Gander,1987-1990,No,study area photo,,,no GPS,,
35,Darby & Duquette,Yes,1986,Journal article,https://septentrio.uit.no/index.php/rangifer/article/view/587/557,"Woodland caribou and forestry in northern Ontario, Canada",,1900-1985,No,study area photo,,,"no GPS, vague, old",,
36,Dau & Cameron,Yes,1986,Journal article,https://septentrio.uit.no/index.php/rangifer/article/view/588/558,Effects of a road system on caribou distribution during calving,Alaska,1981-1982,No,,,,"survey with no population numbers present, just proportional distance from road",,
37,Nellemann & Cameron,Yes,1998,Journal article,https://cdnsciencepub.com/doi/abs/10.1139/z98-078,Cumulative impacts of an evolving oil-field complex on the distribution of calving caribou,Alaska - Rectangle in Central Arctic Herd,1987-1992,No,study area photo,Unclear,Direct observation + calf:cow ratio,"In Alaska, so no NFI data",,
38,Pigeon et al.,Yes,2016,Journal article,https://link.springer.com/article/10.1007/s00267-016-0763-6,Toward the Restoration of Caribou Habitat: Understanding Factors Associated with Human Motorized Use of Legacy Seismic Lines,,2013-2014,No,,,,Surveyed human use of caribou habitat...,,
39,Wilson et al.,Yes,2019,Journal article,https://www.jstor.org/stable/26585223,The biogeography of home range size of woodland caribou Rangifer tarandus caribou,,1986-2013,No,,,,Meta-analysis,,
40,Gustine et al.,Yes,2010,Journal article,https://wildlife.onlinelibrary.wiley.com/doi/epdf/10.2193/0022-541X%282006%2970%5B1601%3AIRSADS%5D2.0.CO%3B2,Interpreting Resource Selection at Different Scales for Woodland Caribou in Winter,British Columbia,2001-2002,Yes,study area photo,Unsure, pregancy rate,radiotelemetry of 25 females,yes,
41,Stepaniuk,Yes,1997,Thesis,,Planning for woodland caribou winter habitat needs in west-central Alberta,Western Alberta - A Weyerhauser FMA in the foothills,1994-1995,No,study area photo,,,tracking,,
42,Dyer et al. (a),Yes,2002,Journal article,https://cdnsciencepub.com/doi/abs/10.1139/z02-060,Quantifying barrier effects of roads and seismic lines on movements of female woodland caribou in northeastern Alberta,British Columbia,1998,Unlikely,not pictured,,,"mortality occured but not reported, no remeasurement , no density",,
43,Brown et al.,Yes,2007,Journal article,https://www.sciencedirect.com/science/article/pii/S0378112707003337?via%3Dihub,Predicting the impacts of forest management on woodland caribou habitat suitability in black spruce boreal forest,,1998-2001,No,,,,focus was range extent,,
44,Brown & Theberge,Yes,1990,Journal article,https://www.jstor.org/stable/3808916?pq-origsite=summon&seq=7#metadata_info_tab_contents,The effect of extreme snow cover on feeding-site selection by woodland caribou,Labrador - Central,1982-1984,No,not pictured,,,no demographic data,,
45,Cumming & Beange,Yes,1987,Journal article,https://www.jstor.org/stable/3801634?pq-origsite=summon&seq=1#metadata_info_tab_contents,"Dispersion and Movements of Woodland Caribou Near Lake Nipigon, Ontario",Ontario,1976-1981,Unlikely,,,,"data is tabulated by distance and island class, making total population estimate unclear",,
46,Harris,Yes,1996,Report,By request (https://cat.fsl-bsf.scitech.gc.ca/record=b3365232~S1),Post-logging regeneration of reindeer lichens (Cladina spp.) as related to woodland caribou winter habitat,,1991,No,,,,,,
47,Racey et al.,Yes,1991,Management/Forest Harvesting,https://septentrio.uit.no/index.php/rangifer/article/view/999,Can woodland caribou and the forest industry coexist: The Ontario scene,,Multiple,No,,,,no primary data,,
48,Arsenault,Yes,2014,Report,,Recommendations and Proposed Contributions Towards a Caribou Conservation Plan: Pasquia-Bog Boreal Caribou Population,Manitoba Saskatchewan,,No,,,,no primary data,,
49,DeMars et al.,Yes,2019,Journal article,https://cdnsciencepub.com/doi/full/10.1139/cjz-2018-0319,"Moose, caribou, and fire: have we got it right yet?",,2012-2016,No,,,,tracked moose,,
50,Fortin et al.,Yes,2017,Journal article,https://www.nature.com/articles/s41598-017-06672-4#citeas,Forest productivity mitigates human disturbance effects on late-seral prey exposed to apparent competitors and predators,Quebec,2004-2014,no,study area photo,Nottaway Assinica Tesmiscamie Manicouagan Pipmuacan,lambda calf:cow survival,does not present demographic data,,
51,Stewart et al.,Yes,2020,Journal article,https://wildlife.onlinelibrary.wiley.com/doi/full/10.1002/jwmg.21937,Boreal Caribou Can Coexist with Natural but Not Industrial Disturbances,,1856-2076,No,,,,simulation,,
52,Sleep & Loehle,Yes,2010,Journal article,https://wildlife.onlinelibrary.wiley.com/doi/abs/10.1111/j.1937-2817.2010.tb01278.x,Validation of a demographic model for woodland caribou,,1993-2008,No,,,Lambda,Validated existing model from Sorenson 2008,,
53,Silva et al.,Yes,2020,Journal article,https://cdnsciencepub.com/doi/full/10.1139/cjz-2020-0139,Comparison of pre-fire and post-fire space use reveals varied responses by woodland caribou (rangifer tarandus caribou) in the boreal shield,,2014-2018,No,,,,No Demographic Data,,
54,Lesmerises et al.,Yes,2017,Journal article,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5288256/,Refuge or predation risk? Alternate ways to perceive hiker disturbance based on maternal state of female caribou,Quebec,2013-2014,No,study area photo,Gaspesie,mortality and birth,Unlikely to be primary source of data - observations of caribou was ,yes,
55,Schaefer & Mahoney,Yes,2013,Journal article,https://cdnsciencepub.com/doi/full/10.1139/cjz-2013-0132,Spatial dynamics of the rise and fall of caribou (Rangifer tarandus) in Newfoundland,,1980-2010,No,,,,No demographics but see other Schaefer papers,,
56,Bélanger et al.,Yes,2019,Journal article,https://wildlife.onlinelibrary.wiley.com/doi/full/10.1002/jwmg.21583,,Quebec-Labrador,2011-2016,no,study area photo,Torngat Mountains,lambda,torngat are not woodland,yes,
57,Newton et al.,Yes,2015,Journal article,https://search.proquest.com/docview/1755452341?pq-origsite=summon,Causes and Consequences of Broad-Scale Changes in the Distribution of Migratory Caribou (Rangifer tarandus) of Southern Hudson Bay,,1986-2011,No,,,,Insufficient information. Need raw data from OMNR,,
58,Mumma,Yes,2017,Journal article,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.3563,Understanding predation risk and individual variation in risk avoidance for threatened boreal caribou,British Columbia ,2012-2015,Unsure,study area photo,Many,predation,"has collared data + mortality, but not births. Unsure what t2 would be..",,
59,Fortin et al.,Yes,2013,Journal article,https://www.jstor.org/stable/10.1086/670243?pq-origsite=summon&seq=3#metadata_info_tab_contents,Movement Responses of Caribou to Human-Induced Habitat Edges Lead to Their Aggregation near Anthropogenic Features,,2005-2009,No,,,,caribou location was focus,,
60,DeMars et al.,Yes,2013,Journal article,https://onlinelibrary.wiley.com/doi/10.1002/ece3.785,Inferring parturition and neonate survival from movement patterns of female ungulates: A case study using woodland caribou.,British Columbia,2011-2012,Unsure,Not pictured,,pregnancy,"pregnancy for 2011, neonatal survival for 2011-2012. Also used data from 2004 (n = 10 though), but I'm not sure all data is presented, including study ara",,
61,Weir et al.,Yes,2007,Journal article,https://doi.org/10.2981/0909-6396(2007)13[66:EOMDOW]2.0.CO;2,Effects of Mine Development on Woodland Caribou Rangifer Tarandus Distribution,,1985-1991,Unlikely,,,count,raw count but not presented in useful way,,
62,Leech et al.,Yes,2017,Journal article,https://cdnsciencepub.com/doi/full/10.1139/cjz-2016-0076,The temporal niche and seasonal differences in predation risk to translocated and resident woodland caribou (rangifer tarandus caribou),,2012-2013,No,,,,,,
63,Grant et al.,Yes,2019,Journal article,https://link.springer.com/article/10.1007/s10531-019-01789-6,Evaluating the efficacy of translocation: maintaining habitat key to long-term success for an imperiled population of an at-risk species,British Columbia,1991-2012,Unsure,study area photo,"Telkwa, Chase, Wolverine",count,involves translocation,,
64,Walker et al.,Yes,2021,Journal article,https://wildlife.onlinelibrary.wiley.com/doi/full/10.1002/jwmg.21961,Comparison of Woodland Caribou Calving Areas Determined by Movement Patterns Across Northern Ontario,Ontario,2010-2013,Yes,study area photo,"Kinloch, Nipigon, Kesagami","calving rate, neonatal mortality",,yes,
65,Hegel et al.,Yes,2012,Journal article,https://link.springer.com/article/10.1007/s10144-011-0275-4#Tab1,Spatial synchrony of recruitment in mountain-dwelling woodland caribou,,1982-2008,No,,,calf:cow ratio,Focus was synchrony in herds,,
66,Dyer et al. (b),Yes,2001,Journal article,https://www.jstor.org/stable/3803106?pq-origsite=summon&seq=1#metadata_info_tab_contents,Avoidance of industrial development by woodland caribou,,1998,No,,,,caribou location was focus,,
67,Dalerum et al.,Yes,2007,Journal article,https://cdnsciencepub.com/doi/full/10.1139/z06-186,"Wildfire effects on home range size and fidelity of boreal caribou in Alberta, Canada",Alberta,1992-2001,Yes,study area photo,"Caribou Mountains, Red Earth, ESAR",mortality and fecundity,need S.M. to get actual rates,dupl of Hervieux,
68,Winder et al.,Yes,2020,Journal article,https://www.frontiersin.org/articles/10.3389/fevo.2020.00001/full#h3,Cumulative Effects and Boreal Woodland Caribou: How Bow-Tie Risk Analysis Addresses a Critical Issue in Canada's Forested Landscapes,,Multiple,No,,,,focus was cost of mitigation - data came from Environment Canada 2008,,
69,Lander,Yes,2007,Thesis,https://mspace.lib.umanitoba.ca/handle/1993/8008,Distribution and movements of woodland caribou on disturbed landscapes in west-central Manitoba : implications for forestry,,2002-2004,No,,,,focus was location,,
70,Renton,Yes,2015,Thesis,https://mspace.lib.umanitoba.ca/handle/1993/30676,Habitat selection by the Slate Island boreal woodland caribou (Rangifer tarandus caribou),,1974-1995,No,,,,,,
71,Gullickson & Manseau,Yes,2000,Report,https://www.researchgate.net/publication/228503946_South_Nahanni_woodland_caribou_herd_seasonal_range_use_and_demography,South Nahanni woodland caribou herd seasonal home range use and demography,NWT,1995-1998,Yes,study area photo,South Nahanni,mortality rate and fecundity rate,,yes,
72,McFarlane,Yes,2015,Thesis,https://mspace.lib.umanitoba.ca/handle/1993/30827,Estimation of demographic population parameters using non-invasive methods in woodland caribou (Rangifer tarandus caribou),Manitoba,2006-2013,Yes,"separate maps for each herd, but good quality","Tonquin, North Interlake, The Bog, Slate Islands, PAGE",population,,yes,
73,Konkolics,Yes,2019,Thesis,https://era.library.ualberta.ca/items/39fff01e-8dcc-4478-9eed-9da6a1ff7e34,A burning question: The spatial response of woodland caribou to wildfire in northeastern Alberta,Alberta,1998-2017,Unsure,study area photo,"WSAR, ESAR, Richardson, Cold Lake, Slave Lake, Red Earth",mortality,death only reported for all caribou (51 of 201 adult female caribou). Focus was primiarly habitat,,
74,Wilson & DeMars,Yes,2015,Journal article,https://cwbm.ca/a-bayesian-approach-to-characterizing-habitat-use-by-and-impacts-of-anthropogenic-features-on-woodland-caribou-rangifer-tarandus-caribou-in-northeast-british-columbia/,"A Bayesian Approach to Characterizing Habitat Use By, and Impacts of Anthropogenic Features On, Woodland Caribou (Rangifer tarandus caribou) in Northeast British Columbia",,2012,No,,,,,,
75,Polfus,Yes,2010,Thesis,https://scholarworks.umt.edu/etd/58,Assessing cumulative human impacts on northern woodland caribou with traditional ecological knowledge and resource selection functions,,1999-2003,No,,,,not demographic study,,
77,Johnson et al.,Yes,2019,Journal article,https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1002/ecs2.2622?src=getftr,Modeling multispecies predator–prey dynamics: predicting theoutcomes of conservation actions for woodland caribou,,2013-2016,No,,,,simulation,,
78,Bradshaw et al.,No,1995,Journal article,https://cdnsciencepub.com/doi/abs/10.1139/z95-185,Winter peatland habitat selection by woodland caribou in northeastern Alberta,Alberta,,Unlikely,study area photo,,,Unclear if this study area is derived from the collared caribou locations,,
79,Stuart-Smith et al.,No,1997,Journal article,https://researchnow.flinders.edu.au/en/publications/woodland-caribou-relative-to-landscape-patterns-in-northeastern-a,Woodland caribou relative to landscape patterns in northeastern Alberta,Alberta,1991-1994,Yes,study area photo,,lambda,,yes,
80,Mahoney et al.,No,1998,Journal article,https://www.jstor.org/stable/3801986,Evaluation of a Mark-Resighting Technique for Woodland Caribou in Newfoundland,Newfoundland,1985-1995,Yes,study area photo,,count,used mark-recapture by spraying paitn from a helicopter,yes,
81,Schaefer et al.,No,2000,Journal article,https://link.springer.com/article/10.1023/A:1008160408257,Site fidelity of female caribou at multiple spatial scales,Quebec and Labrador,1996-1998,No,study area photo,,,,,
82,Mahoney and Schaefer,No,2002,Journal article,https://academic.oup.com/jmammal/article/83/4/957/2373278,Long-term changes in demography and migration of Newfoundland caribou,Newfoundland,1960-2000,Yes,study area photo,,lambda,Lots of remeasurements but only long-term growth rate reported,yes,
90,McLoughlin et al,No,2003,Journal article,https://www.jstor.org/stable/pdf/3802682.pdf,Declines in populations of woodland caribou,Alberta,1991-2002,Yes,study area photo,"WSAR, ESAR, Cold Lake, Caribou Mountains, Red Earth",Female survival + calf:cow ratio,,duplicate of Hervieux?,
83,Hettinga et al,No,2012,Journal article,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3437481/,Estimating Size and Trend of the North Interlake Woodland Caribou Population Using Fecal-DNA and Capture–Recapture Models,Manitoba,2004-2009,Yes,study area photo,,lambda,,yes,
84,Arsenault et al,No,2003,Report,,Status and conservation management framework for woodland caribou,,,No,,,,,,
85,Environment Canada,No,2009,Report,,Scientific review for the identification of critical habitat for woodland caribou,,,Yes,Pan Canada,,lambda,,not primary,
86,McLoughlin et al,No,2019,Report,http://mcloughlinlab.ca/lab/wp-content/uploads/2019/06/2013-2018-SK-Boreal-Shield-Caribou-Project-Final-Report-June-10-2019.pdf,Population and habitat ecology of boreal caribou and their predators in the Saskatchewan Boreal Shield,Saskatchewan,2014-2018,Yes,study area photo,"SK2, SK1?",lambda,radiocollars,yes,
87,Hervieux et al.,No,2013,Journal article,https://cdnsciencepub.com/doi/10.1139/cjz-2013-0123,Widespread declines in woodland caribou (Rangifer tarandus caribou) continue in Alberta,Alberta,1994-2012,Yes,study area photo,every Alberta range except Banff Jasper,Female survival + calf:cow ratio,,yes,
91,Courtois et al,No,2007,Journal article,10.2980/1195-6860(2007)14[491:EOFDOD]2.0.CO;2.,"Effects of forest disturbance on density, space use, and mortality of woodland caribou",Quebec,1998-2002,Yes,study area photo,"Manic, Manou, Pipmu","Survival rate, calf:cow ratio",,yes,
92,Rettie and Messier,No,1998,Journal article,https://cdnsciencepub.com/doi/abs/10.1139/z97-193,Dynamics of woodland caribou populations at the southern limit of their range in Saskatchewan,Saskatchewan,1992-1995,Yes,study area photo,Mid Boreal Upland and Mid Boreal Lowland,rate of increase,,yes,
93,Wittmer et al.,No,2005,Journal article,10.1007/s00442-005-0055-y,The role of predation in the decline and extirpation of woodland caribou,British Columbia,1984-2002,Yes,study area photo,Many,rate of increase,,yes,
94,DeCesare et al,No,2012,Journal article,https://wildlife.onlinelibrary.wiley.com/doi/epdf/10.1002/jwmg.244,Estimating ungulate recruitment and growth rates using age ratios,Alberta,1998-2009,Yes,Not pictured,A La Peche,rate of increase,"This may be duplicating Hervieux et al (same authors, same area)",duplicate,
95,Wittmer et al.,No,2010,Journal article,https://www.sciencedirect.com/science/article/pii/S0006320709004078,"Viability of mountain caribou in British Columbia, Canada: Effects of habitat change and population density",British Columbia,1984-2004,Yes,Same as Wittmer 2005,Many,"survival rate, birth rate",Has great summary table - unclear why sampling year is different from Wittmer 2005/2007. Seems to be one big study,see Wittmer 2007,
96,Pinard et al.,No,2011,Journal article,https://wildlife.onlinelibrary.wiley.com/doi/full/10.1002/jwmg.217,"Calving rate, calf survival rate, and habitat selection of forest-dwelling caribou in a highly managed landscape",Quebec,2004-2006,Yes,study area photo,Charlevoix?,"calf survival rate, female calving rate",,yes,
97,Courtois et al,No,2008,Journal article,https://cdnsciencepub.com/doi/abs/10.1139/X08-119?casa_token=j3wwSyn6-TkAAAAA:Ioa2F_dz24juQwGtQEC2cchue0TMmGeLOQOegTx-7llMR9Ox4T6AUbobSRD-CwbCejIXFxXUzusWNQ,Demographic and behavioural reponse of woodland caribou to forest harvesting,Quebec,1991-2005,Yes,study area photo,West Manicougan,"population, calf:cow, survival rate",compare with courtois 2007..,yes,
98,Rudolph et al,No,2017,Journal article,https://link.springer.com/article/10.1007/s10531-017-1292-1,Demographic responses of boreal caribou to cumulative disturbances highlight elasticity of range-specific tolerance thresholds,Quebec,2004-2013,Yes,study area photo,"Nottaway, Assinica, Temiscamie","Survival rate, calf:cow, lambda","Used some data from Courtois et al 2003, and two exhaustive inventories by MFFP in 2002/3 and 2013",yes,
99,Sorensen et al,No,2008,Journal article,https://wildlife.onlinelibrary.wiley.com/doi/abs/10.2193/2007-079,Determining sustaintable levels of cumulative effects for Boreal Caribou,Alberta,1993-2001,Yes,study area photo,"WSAR, ESAR, Cold Lake, Caribou Mountains, Red Earth",lambda,Looks familiar - McLoughlin 2003? But different years,see Hervieux,
100,Metsaranta and Mallory,No,2007,Journal article,https://www.jstor.org/stable/25177066,"Ecology and habitat selection of a woodland caribou population in West-Central Manitoba, Canada",Manitoba,1998-2001,No,study area photo,Naosap,none,Tracked 14-25 females but no demographic information,,
101,Mahoney and Virgl,No,2003,Journal article,https://doi.org/10.1139/z02-239,Habitat selection and demography of a nonmigratory woodland caribou population in Newfoundland,Newfoundland,1994-1997,Yes,study area photo,Corner Brooks Lakes? unsure re: nflnd rangs,"calf recruitment, pregnancy rate,  survival rate, lambda ",,yes,
102,Schaefer et al ,No,1999,Journal article,https://www.jstor.org/stable/3802646,Demography and decline of the red wine mountains Caribou herd,Labrador,1981-1997,no,study area photo ,Red Wine Mountains,"survival rate, calf recruitment rate","estimates for two periods (81-88 & 93-97), when stable and declining, but some egress to George River herd occured - I believe they report it both as ""mortality"" but also tracked the ultimate fate",not a target population,
103,Fryxell et al ,No,2020,Journal article,https://doi.org/10.1002/jwmg.21829,Anthropogenic Disturbance and Population Viability of WOodland Caribou in Ontario,Ontario,2010-2014,Yes,study area photo ,Unsure,survival rate,,yes,
104,Jenkins and Barten ,No,2005,Journal article,https://cdnsciencepub.com/doi/abs/10.1139/z05-111,Demography and decline of the Mentasta caribou herd in Alaska,Alaska,1990-1997,No,study area photo,Mentasta,"survival rate, recruitment","SA is in Alaska, but range crosses into Yukon. Not sure if NFI data will cover Alaska, however",,
105,Rasiulis et al ,No,2014,Journal article,https://doi.org/10.1002/jwmg.722,The effect of radio-collar weight on survival of Migratory Caribou,Quebec-Labrador,1991-2000,Yes,see Boulet et al ,Rivière-George,survival rate,tested effect of collars on survival. Technicaly 1991-1994 and 2000,Riviere George is not a target pop,
106,Lafontaine et al ,No,2019,Journal article,https://doi.org/10.1002/ecs2.2739,Exposure to historical burn rates shapes the response of boreal caribou to timber,Quebec,2004-2013,No,,6 ranges,,"Collared, but no demographic data. Probably the same as ",,
107,Crête et al,No,1996,Journal article,https://doi.org/10.7557/2.16.4.1217,Relative contribution of decreased productivity and survival to recent changes in the dmographic trend of the Riveère George Caribou Herd,Quebec,1984-1992,Yes but,study area photo,Rivière-George,"lambda, survival rate, calf:cow, pregnancy","Some demogrpahic metrics used data from other sources, and were calculated using multiple methods. Eric should read",yes,
