Doc_ID,Species/subspecies,Ecotype/Herd,Author,year,Publication_Type,Topic,Related_Topic,Title,Locality,Region,Province,Telemetry Data,Method,Sampled Years,Analysis,URL,DOI,Cite,Corresponding_Author,Library_Portal,Source,Publication Title,Publication_Abbrev,Publisher,ISNN,Copyright,Query / Element,Remarks
44,Woodland,Boreal,Brown & Theberge,1990,Journal article,Disturbances,Forest harvesting,The effect of extreme snow cover on feeding-site selection by woodland caribou,"West of Goose Bay, Red Wine Mountains Region",Central Labrador,NL,N,Snow conditions in feeding areas,1982-1984,Parametric statistics,https://www.jstor.org/stable/3808916?pq-origsite=summon&seq=7#metadata_info_tab_contents,10.2307/3808916,"Brown, W. K., and J.B. Theberge. 1990. The effect of extreme snow cover on feeding-site selection by woodland caribou. Journal of Wildlife Management 54:161-168",,Scopus,Jstor,Journal of Wildlife Management,J Wildlife Manage,J Wildlife Manage,0022-541X,"© 1990 The Wildlife Society, Copyright 2018 Elsevier B.V., All rights reserved., 1991 INIST-CNRS",Population dynamics AND caribou,Influence of Snowcover depth and hardness on the distribution and use of feeding sites by caribou
11,Woodland,Boreal,Brown et al.,2003,Journal article,Population Dynamics,Seasonal home range,Range size and seasonal movement for female woodland caribou in the boreal forest of northeastern Ontario,Southern section of the James Bay lowlands,Northestern Ontario,ON,Y,VHF/satellite radio-collars,1998-2001,"Fixed Kernel method, ANOVA",https://septentrio.uit.no/index.php/rangifer/article/view/1706,10.7557/2.23.5.1706,"Brown, G. S., Mallory, F. F., & Rettie, J. (2003). Range size and seasonal movement for female woodland caribou in the boreal forest of northeastern Ontario. Rangifer, 23(5), 227-233. https://doi.org/10.7557/2.23.5.1706",gbrown@nickel.laurentian.ca,Google,Septentrio,Rangifer,Rangifer,Swedish University of Agricultural Sciences,0801-6399,"© 2015 Glen S. Brown, Frank F. Mallory, James Rettie",Cited by others,Annual  and  seasonal  ranges were  calculated using satellite  telemetry  data  col-lected  for  30  female  caribou  between  1998  and  2001.
43,Woodland,Boreal,Brown et al.,2007,Journal article,Disturbances,Forest harvesting,Predicting the impacts of forest management on woodland caribou habitat suitability in black spruce boreal forest,Moose River Management Unit (MRMU) in the Clay Belt,Northeastern Ontario and northwestern Quebec,"ON, QC",Y,Satellite radio-collars,1998-2001,"Patchworks stochastic optimization model. Resource Selection Function, logistic regression",https://www.sciencedirect.com/science/article/pii/S0378112707003337?via%3Dihub,10.1016/j.foreco.2007.04.016,"Brown, G.S., W.J. Rettie, R.J. Brooks, and F.F. Mallory. 2007. Predicting the impacts of forest management on woodland caribou habitat suitability in black spruce boreal forest. Forest Ecology and Management 245:137-147.",glen.brown@ontario.ca,NRCan Library,Scopus,Forest Ecology and Management,For Ecol Manag,Elsevier,0378-1127,© 2007 Elsevier B.V. All rights reserved.,Disturbance effects AND Caribou,Caribou occurrence in harvesting timber areas. Harvesting strategies and management targets.
34,Woodland,Boreal,Chubbs et al.,1993,Journal article,Disturbances,Forest harvesting,Responses of woodland caribou (Rangifer tarandus caribou) to clear-cutting in east-central Newfoundland,Northwest Gander - Gull Lake region,East-central Newfoundland,NL,Y,Radiocollar,1987-1990,"Harmonic-means center of activity,  X2 analysis and Bonferroni z-statistics (preference or avoidance of individual habitats )",https://cdnsciencepub.com/doi/abs/10.1139/z93-070,10.1139/z93-070,"Chubbs, T. E., L. B. Keith, S. P. Mahoney, and M. J. McGrath. 1993. Responses of woodland caribou (Rangifer tarandus caribou) to clear-cutting in east-central Newfoundland. Canadian Journal of Zoology 71: 487-493.",,Google Scholar,Canadian Science Publishing,Canadian Journal of Zoology,Can. J. Zool.,,0008-4301,©1993 Canadian Science Publishing,Cited by others,"Habitat use distance relative to Clear-cut areas, sex and age ratio, habitat composition"
45,Woodland,Boreal,Cumming & Beange,1987,Journal article,Population Dynamics,Population dynamics,"Dispersion and Movements of Woodland Caribou Near Lake Nipigon, Ontario",IslandsLake Nipigon,Northern Ontario,ON,Y,"Tagging captures, radiotelemetry, tracks in snow",1976-1981,Parametric statistics,https://www.jstor.org/stable/3801634?pq-origsite=summon&seq=1#metadata_info_tab_contents,10.2307/3801634,"Cumming, H.g., & Beange, D.B. 1987. Dispersion and movements of woodland caribou near lake Nipigon, Ontario. Journal of Wildlife Management 51: 69-78.",,NRCan Library,Scopus,Journal of Wildlife Management,J Wildlife Manage,J Wildlife Manage,0022-541X,"© 1987 The Wildlife Society, Inc., Copyright 2018 Elsevier B.V., All rights reserved., 1988 INIST-CNRS",Population dynamics AND caribou,"Caribou sesonal dispersion/habitat use/movements, island use, use and size of wintering areas"
24,Woodland,Boreal,Curatalo & Murphy,1986,Journal article,Disturbances,Industrial,"The effects of pipelines, roads and traffic on the movements of caribou, Rangifer tarandus",Prudhoe Bay and Kuparuk oil fields,Alaska,AK,N,Direct observation_variable-power spotting scopes (3m high) and binoculars,1981-1983,Chi-square analysis,https://www.biodiversitylibrary.org/item/89211#page/232/mode/1up,,"Curatalo, J. A., and S. M. Murphy. 1986. The effects of pipelines, roads and traffic on the movements of caribou, Rangifer tarandus. Canadian Field Naturalist: 100: 218-224 (Available  in the Biodiversity Heritage Library) (cited by Gordon Smith 2004)",,Google,Biodiversity Heritage Library,Canadian Field-Naturalist,Can. Field-Nat,"Ottawa,Ottawa Field-Naturalists' Club, Harvard University, Museum of Comparative Zoology, Ernst Mayr Library",,"In copyright. Digitized with the permission of the rights holder.
",Cited by others,Frequency of crossing linear features by caribou
67,Woodland,Boreal,Dalerum et al.,2007,Journal article,Disturbances,Cumulative disturbances,"Wildfire effects on home range size and fidelity of boreal caribou in Alberta, Canada","Caribou Mountains, East Side Athabasca River, Red Earth",Northern Alberta,AB,Y,GPS-collar,1995-2001,"Resource Selection Function,multiple linear regression, variance analysis",https://cdnsciencepub.com/doi/full/10.1139/z06-186,10.1139/z06-186,"Dalerum F., Boutin S., & Dunford J.S. 2007. Wildfire effects on home range size and fidelity of boreal caribou in Alberta, Canada. Canadian Journal of Zoology. 85(1): 26-32. https://doi.org/10.1139/z06-186","(email: stan.boutin@ualberta.ca) 
(email: jdunford@gartnerlee.com)",NRCan Library,Scopus,Canadian Journal of Zoology,Can. J. Zool.,NRC Research Press,0008-4301,"© 2008 Elsevier B.V., All rights reserved., 2007 INIST-CNRS",boreal woodland caribou AND disturbance AND demographics AND Manitoba,"Influence of wildfire in home range size (analysis of variance), Annual home ranges by the Animal Movement Extension in ArcView"
35,Woodland,Boreal,Darby & Duquette,1986,Journal article,Disturbances,Forest harvesting,"Woodland caribou and forestry in northern Ontario, Canada",Provincial,Provincial,ON,N,Historical data _Air counts/Radiocollars,1900-1985,"Seasonal range size, percentage habitat use, ",https://septentrio.uit.no/index.php/rangifer/article/view/587/557,10.7557/2.6.2.587,"Darby W. R., and L. S. Duquette. 1986. Woodland caribou and forestry in northern Ontario, Canada. Rangifer Special Issue No. 1. pp. 87 – 93",,Google Scholar,Septentrio,Rangifer,Rangifer,Swedish University of Agricultural Sciences,1890-6729,© 1986 W. R. Darby and L. S. Duquette,Disturbance effects AND Caribou,Habitat use and range size in relation with clear-cut areas and hervasting rate since1900 to late 80's. Forestry management alternatives
36,Grant's,Central Artic Herd,Dau & Cameron,1986,Journal article,Disturbances,Cumulative disturbances,Effects  of a road  system  on  caribou distribution during calving,Near Milne Point,Alaska,AK,N,Aerial surveys,1981-1982,Linear regression analysis,https://septentrio.uit.no/index.php/rangifer/article/view/588/558,10.7557/2.6.2.588,"Dau, J. R., and R. D. Cameron. 1986. Effects of a road system on caribou distribution during calving. Rangifer Special Issue No. 1. pp. 95-101",,Google Scholar,Septentrio,Rangifer,Rangifer,Swedish University of Agricultural Sciences,1890-6730,"© 2015 J. R. Dau, R. D. Cameron",Disturbance effects AND Caribou,"Effects  of  the  road  system  on  the  distribution  of  maternal females caribou, local  displacement  assessments. 4 years before and 4 years after road construction."
5,Woodland,Boreal,de Vos & Peterson,1951,Journal article,Population dynamics,Population dynamics,A Review of the Status of Woodland Caribou (Rangifer caribou) in Ontario,Provincial,Provincial,ON,N,N/A,Multiple,Demographic parameters,https://www.jstor.org/stable/1375665,10.2307/1375665," de Vos, A., & Peterson, R.L. 1951. A Review of the Status of Woodland Caribou (Rangifer caribou) in Ontario. Journal of Mammalogy, Vol. 32(3): 329-337",,NRCan Library,NRCan Library,Journal of Mammalogy,J. Mammal,Oxford University Press,0022-2372 (print) 1545-1542 (web),© 1951 Oxford University Press,Cited by others,"Qualitative analysis of population for the Ontario areaCaribou populations might be estimated at between 1300 and 3000, base on data collected between 1948-1949"
49,Woodland,Boreal,DeMars et al.,2019,Journal article,Disturbances,Fire/natural disturbances,"Moose, caribou, and fire: have we got it right yet?",,"Northeastern British Columbia, northern Alberta, and northeastern
Saskatchewan","AB,BC,SK",Y,GPS-collar (moose data),2012-2016,"Resource Selection Analysis (RSA), Step selection function (SSF), linear regression models",https://cdnsciencepub.com/doi/full/10.1139/cjz-2018-0319,10.1139/cjz-2018-0319,"DeMars, C. A., Serrouya, R., Mumma, M. A., Gillingham, M. P., McNay, R. S., & Boutin, S. 2019. Moose, caribou, and fire: Have we got it right yet? Canadian Journal of Zoology, 97(10), 866-879. https://doi.org/10.1139/cjz-2018-0319",cdemars@ualberta.ca,NRCan Library,CrossREf,Canadian Journal of Zoology,Can. J. Zool.,NRC Research Press,0008-4301,© 2019 NRC Research Press,Caribou demographics AND Disturbance,Disturbance-mediated apparent competition (DMAC) with moose
60,Woodland,Boreal,DeMars et al.,2013,Journal article,Population Dynamics,Population dynamics,Inferring parturition and neonate survival from movement patterns of female ungulates: A case study using woodland caribou.,Near Fort Nelson,Northeast British Columbia,BC,Y,GPS-collar,"2004, 2011-2012",Population?based method (PBM) and ndividual?based method (IBM) based on average movement,https://onlinelibrary.wiley.com/doi/10.1002/ece3.785,10.1002/ece3.785,"DeMars, C. A., Auger?Méthé, M., Schlägel, U. E., & Boutin, S. 2013. Inferring parturition and neonate survival from movement patterns of female ungulates: A case study using woodland caribou. Ecology and Evolution, 3(12), 4149-4160. https://doi.org/10.1002/ece3.785",cdemars@ualberta.ca,NRCan Library,Scopus,Ecology and Evolution,Ecol. Evol.,Blackwell Publishing Ltd,2045-7758,"© 2013 The Authors. published by John Wiley & Sons Ltd., Copyright 2013 Elsevier B.V., All rights reserved., 2013 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd 2013",Woodland Caribou AND disturbance AND demographics,"Movement?based methods for predicting parturition and rate of neonate survival, movement thresholds indicative of parturition and neonate loss from population?level data "
42,Woodland,Boreal,Dyer et al. (a),2002,Journal article,Disturbances,Cumulative disturbances,Quantifying barrier effects of roads and seismic lines on movements of female woodland caribou in northeastern Alberta,Southwest corner of the Athabasca oil-sands deposits,Northeastern Alberta,AB,Y,GPS-collar,1998,"Crossing analysis, minimum convex polygon, density of roads",https://cdnsciencepub.com/doi/abs/10.1139/z02-060,10.1139/z02-060,"Dyer, S. J., J. P. O’Neill, S. M. Wasel, and S. Boutin. 2002. Quantifying barrier effects of roads and seismic lines on movements of female woodland caribou in northeastern Alberta. Canadian Journal of Zoology 80: 839 –845.",dyersi@alpac.ca,NRCan Library,Scopus,Canadian Journal of Zoology,Can. J. Zool.,NRC Research Press,0008-4301,"©  2001 The Wildlife Society, Copyright 2018 Elsevier B.V., All rights reserved.",Disturbance effects AND boreal woodland Caribou,Evaluating probable effects of linear developments as barriers to woodland caribou movements
66,Woodland,Boreal,Dyer et al. (b),2001,Journal article,Disturbances,Cumulative disturbances,Avoidance of industrial development by woodland caribou,Southwest corner of the Athabasca oil-sands deposits,Northern Alberta,AN,Y,GPS-collar,1998,Avoidance analysis,https://www.jstor.org/stable/3803106?pq-origsite=summon&seq=1#metadata_info_tab_contents,10.2307/3803106,"Dyer, S. J., O'Neill, J. P., Wasel, S. M., & Boutin, S. (2001). Avoidance of industrial development by woodland caribou. The Journal of Wildlife Management, 65(3), 531-542. https://doi.org/10.2307/3803106",dyersi@alpac.ca,NRCan Library,Scopus,Journal of wildlife managemen,J WILDLIFE MANAGE,The Wildlife Society,0022-541X,"© 2008 Elsevier B.V., All rights reserved., 2002 INIST-CNRS",Disturbance effects AND boreal woodland Caribou,"Avoidance effect, seasonal variation in distribution"
18,Woodland,Boreal,Edmonds,1991,Journal article,Population Dynamics,Population dynamics,Status of woodland caribou in western North America,Continental,Western North America,NA,N,N/A,1970-1990,Population estimates,https://septentrio.uit.no/index.php/rangifer/article/view/998,10.7557/2.11.4.998,"Edmonds, E. J. 1991. Status of woodland caribou in western North America. Rangifer, 11(4): 91-107. https://doi.org/10.7557/2.11.4.998",Alberta Fish and Wildlife,Google,Septentrio,Rangifer,Rangifer,Swedish University of Agricultural Sciences,1890-6729,© 2015 E. Janet Edmonds,Cited by others,"Caribou numbers (population estimates) across western NA, and details about carried out research, reports and knowledge gaps. Time frame from 1970 to 1990."
26,Woodland,Boreal,Ellington et al.,2020,Journal article,Population Dynamics,Population dynamics,Divergent estimates of herd-wide caribou calf survival: Ecological factors and methodological biases,,Island of Newfoundland,NL,y,Radiocollar,1979-2014,"Cox proportional hazards models, linear mixed?effects models",https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.6553,10.1002/ece3.6553,"Ellington, EH, Lewis, KP, Koen, EL, Vander Wal, E. Divergent estimates of herd-wide caribou calf survival: Ecological factors and methodological biases. Ecol Evol. 2020; 10: 8476– 8505. https://doi.org/10.1002/ece3.6553","e.hance.ellington@gmail.com
",NRCan Library,NRCan Library,Ecology and Evolution,Ecol. Evol.,Wiley Online Library,,© 2020 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.,Cited by others,Cox proportional hazards models to determine bias on estimates of calf mortality risk by the date of calf collaring. Linear mixed-effects models to determine bias on estimates of C:C ratios by survey date and herd size.
10,Woodland,Boreal,Faille et al.,2010,Journal article,Disturbances,Forest harvesting,Range fidelity:The missing link between caribou decline and habitat alteration?,"Charlevoix, Saguenay-Lac-St-Jean, and Côte-Nord",South-central Quebec,QC,Y,GPS-collar,2004-2007,"Space use and home-range fidelity analysis, generalized linear mixed models, ANOVA",https://www.sciencedirect.com/science/article/pii/S0006320710003411,10.1016/j.biocon.2010.08.001,"Faille, G., Dussault, C., Ouellet, J-P., Fortin, D., Courtoi, R., St-Laurent, M-H., et al. 2010. Range fidelity:The missing link between caribou decline and habitat alteration? Biological Conservation 143: 2840–2850",christian.dussault@mrnf.gouv.qc.ca,Google,ScienceDirect,Biological Conservation,Biol. Conserv.,Elsevier,0006-3208,© 2010 Elsevier Ltd. Published by Elsevier Ltd. All rights reserved.,Cited by others,"Modeling of home-range fidelity related to landscape disturbances, for 47 tracked adult females across three sites in Quebec. "
50,Woodland,Boreal,Fortin et al.,2017,Journal article,Disturbances,Forest Harvesting,Forest productivity mitigates human disturbance effects on late-seral prey exposed to apparent competitors and predators,"James Bay, northern Quebec",Northeastern Canada,QC,Y,GPS-collar,2004-2014,Mixed-effects models,https://www.nature.com/articles/s41598-017-06672-4#citeas,10.1038/s41598-017-06672-4,"Fortin, D., Barnier, F., Drapeau, P. et al. 2017. Forest productivity mitigates human disturbance effects on late-seral prey exposed to apparent competitors and predators. Sci Rep 7, 6370. https://doi.org/10.1038/s41598-017-06672-4",daniel.fortin@bio.ulaval.ca,NRCan Library,Scopus,Scientific Reports,,Nature Publishing Group,,"© 2017 Elsevier B.V., All rights reserved., 2017. This work is published under http://creativecommons.org/licenses/by/4.0/ (the “License”)",woodland caribou demographics AND Disturbance,"QC5 (Western and eastern Manicouagan),  QC6 (Nottaway,Assinca, Temiscamie),  QC3 (Pipmuacan). Influence of forest productivity on habitat disturbance levels that boreal caribou should be able to withstand (proportion of potentially productive stands, survival rate, recruiment )"
59,Woodland,Boreal,Fortin et al.,2013,Journal article,Disturbances,Anthropogenic disturbance,Movement Responses of Caribou to Human-Induced Habitat Edges Lead to Their Aggregation near Anthropogenic Features,The Cote-Nord,Quebec,QC,Y,VHF_GPS radiocollar,2005-2009,"Movement model, advection-diffusion model",https://www.jstor.org/stable/10.1086/670243?pq-origsite=summon&seq=3#metadata_info_tab_contents,10.1086/670243,"Fortin, D., Buono, P., Fortin, A., Courbin, N., Tye Gingras, C., Moorcroft, P., . . . Editor: Judith L. Bronstein. 2013. Movement Responses of Caribou to Human-Induced Habitat Edges Lead to Their Aggregation near Anthropogenic Features. The American Naturalist, 181(6), 827-836. doi:10.1086/670243",daniel.fortin@bio.ulaval.ca,NRCan Library,Scopus,The American Naturalist,The American Naturalist,University of Chicago Press,,"© 2013 by The University of Chicago. All rights reserved., 2013 by The University of Chicago. All rights reserved., Copyright 2014 Elsevier B.V., All rights reserved. MEDLINE® is the source for the MeSH terms of this document., 2014 INIST-CNRS",Woodland Caribou AND disturbance AND demographics,Distance from the edge of disturbances
63,Woodland,Mountain,Grant et al.,2019,Journal article,Management & conservation,Management & conservation,Evaluating the efficacy of translocation: maintaining habitat key to long-term success for an imperiled population of an at-risk species,"Telkwa, Chase, and Wolverine woodland caribou herds",West-central British Columbia,BC,Y,GPS-collar,1991-2012,Andersen–Gill survival models,https://link.springer.com/article/10.1007/s10531-019-01789-6,10.1007/s10531-019-01789-6,"Grant, L., Johnson, C., & Thiessen, C. (019. Evaluating the efficacy of translocation: Maintaining habitat key to long-term success for an imperiled population of an at-risk species. Biodiversity and Conservation, 28(10), 2727-2743. https://doi.org/10.1007/s10531-019-01789-6",lgrant0@unbc.ca; Laura.Grant@gov.bc.ca,NRCan Library,Scopus,Biodiversity and Conservation,Biodivers Conserv,Springer,0960-3115,"© 2019 Elsevier B.V., All rights reserved., COPYRIGHT 2019 Springer",Woodland Caribou AND disturbance AND demographics,Traslocation and monitor the mortality of individual caribou from the three populations over a 21-year period
71,Woodland,Mountain,Gullickson & Manseau,2000,Report,Population Dynamics,Population dynamics,South Nahanni woodland caribou herd seasonal home range use and demography,South Nahanni National Park Reserve Area,Southwest Northwest Territories,NT,Y,Radiocollar/Aerial surveys,1995-1998,Demographic metrics,https://www.researchgate.net/publication/228503946_South_Nahanni_woodland_caribou_herd_seasonal_range_use_and_demography,,"Gullickson, D., & Manseau, M. 2000. South Nahanni woodland caribou herd seasonal home range use and demography. Report. Parks Canada Agency",Doug_Gullickson@pch.gc.ca,Google Scholar,,,,Parks Canada Agency,,,boreal woodland caribou AND disturbance AND demographics AND Manitoba,"Demography caribou herd, Mackenzey mountains, habitat use, foraging"
